Chapter,Type,Number,Character,Pinyin,German
1,lek,,阿姨,ā yí,(N) Tante [Schwester der Mutter]
1,lek,2,報導,bào dǎo,"(N) Bericht, Reportage; berichten, bringen,senden [Fernsehen, Rundfunk]"
1,lek,3,保護,bǎo hù,"(TV, 1) schützen, erhalten; (N) Schutz, Fürsorge"
1,lek,4,變,biàn,"(IV) sich verändern, sich wandeln"
1,lek,,比方,bǐ fang,(N) Beispiel
1,lek,,比方說,bǐ fang shuō,"(TV, 1) zum Beispiel, als Beispiel ..."
1,lek,7,比什麼都…,bǐ shén me dōu…,(Komp.) als alles andere
1,lek,,不但,bú dàn,(Adv.) nicht nur
1,lek,9,不如,bù rú,"(TV, 1) schlechter als, nicht so gut sein wie"
1,lek,10,不像,bú xiàng,"(TV, 1) nicht so sein wie, unähnlich sein"
1,lek,,不只,bù zhǐ,(Adv) nicht nur
1,lek,12,參加,cān jiā,"(TV, 1) teilnehmen an, kommen zu"
1,lek,13,出生,chū shēng,(N) Geburt; (IV) zur Welt kommen
1,lek,14,出生率,chū shēng lǜ,(N) Geburtenrate
1,lek,15,出走,chū zǒu,"(IV) [von zu Hause] davonlaufen, abhauen"
1,lek,16,單身,dān shēn,"(N) Single, nicht verheiratet"
1,lek,17,電視,diàn shì,"(N) Fernsehprogramm, Fernsehen"
1,lek,18,釣竿,diào gān,(N) Angelrute
1,lek,19,對…來說,duì…lái shuō,"(CV) bezüglich, was zu ... zu sagen wäre"
1,lek,20,獨立,dú lì,"(Adv) unabhängig, selbständig"
1,lek,21,獨生女,dú shēng nǚ,(N) Einzelkind [Mädchen]
1,lek,22,獨子,dú zǐ,"(N) Sohn als Einzelkind, einziger Sohn"
1,lek,23,兒子,ér zi,(N) Sohn
1,lek,24,父母(親),fù mǔ(qīn),(N) Eltern
1,lek,25,婦女,fù nǚ,"(N) Frau, Frauen-"
1,lek,26,改變,gǎi biàn,"(TV, 1) verändern, verbessern; (N) Veränderung, Fortschritt"
1,lek,27,感情,gǎn qíng,"(N) Emotion, Gefühle"
1,lek,28,根,gēn,(N) Wurzel (Pflanzen)
1,lek,29,顧,gù,"(TV, 1) sich kümmern um, sorgen für"
1,lek,30,姑姑,gū gu,(N) Tante [Schwester des Vaters]
1,lek,31,花費,huā fèi,"(N) Kosten, Unterhalt"
1,lek,32,話題,huà tí,(N) Gesprächsthema
1,lek,33,減少,jiǎn shǎo,"(TV) abnehmen, weniger werden; (TV, 1) vermindern"
1,lek,34,家事,jiā shì,"(N) Familienangelegenheiten, Familienpflichten"
1,lek,35,家庭教育,jiā tíng jiào yù,"(N) Erziehung in der Familie, häusliche Erziehung durch die Eltern"
1,lek,36,結婚,jié hūn,(VO) heiraten
1,lek,37,解決,jiě jué,"(TV, 1) lösen, zu einem Ende bringen"
1,lek,38,接受,jiē shòu,"(TV, 1) annehmen; erhalten, bekommen"
1,lek,39,舅舅,jiù jiu,(N) Onkel [Bruder der Mutter]
1,lek,40,考試主義,kǎo shì zhǔ yì,"(N) Prüfungswahnsinn, Notenterror"
1,lek,41,恐怕,kǒng pà,"(Adv.) vermutlich, leider, wie zu erwarten"
1,lek,42,老大,lǎo dà,(N) der Älteste [in der Reihe der Geschwister]
1,lek,43,老么,lǎo yāo,"(N) der Kleinste, der Jüngste [in der Familie]"
1,lek,44,離家出走,lí jiā chū zǒu,"(VO) die Familie verlassen, sich von der Familie trennen, von zu Hause abhauen"
1,lek,45,禮物,lǐ wù,(N) Geschenk
1,lek,46,嘛,ma,(Part.) Ausdruck der Überzeugung
1,lek,47,沒想到,méi xiǎng dào,"(Adv) wer hätte gedacht, dass..., unerwartet"
1,lek,48,母難日,mǔ nàn rì,(N) „Tag der schweren Mutterstunde“ Bezeichnung für den eigenen Geburtstag
1,lek,49,女朋友,nǚ péng you,"(N) Freundin, Girlfriend, Beziehung"
1,lek,50,情況,qíng kuàng,"(N) Umstände, Situation, Lage"
1,lek,51,缺少,quē shǎo,"(TV, 1) fehlen an"
1,lek,52,日子,rì zi,"(N) die eigenen Tage, Zeit, Leben"
1,lek,53,少子化,shǎo zǐ huà,"(N) Abnahme der Kinder in Familien, Tendenz zu immer weniger Kindern"
1,lek,54,社會,shè huì,(N) Gesellschaft
1,lek,55,深,shēn,"(SV) tief, fest"
1,lek,56,聖誕節,shèng dàn jié,(N) Weihnachten
1,lek,57,生活,shēng huó,"(N) Leben; (IV) weiterleben, fortbestehen"
1,lek,58,受到,shòu dào,"(TV, 1) bekommen"
1,lek,5,俗語,sú yǔ,"(N) Sprichwort, Bauernregel (oft mit Reim)"
1,lek,,退休,tuì xiū,(IV) in Rente gehen
1,lek,6,外甥,wài shēng,(N) Neffe [Sohn der Schwester]
1,lek,2,現象,xiàn xiàng,"(N) Phänomen, Erscheinung, Bild"
1,lek,63,習慣,xí guàn,"(TV, 1) sich gewöhnen an, gewohnt sein zu; (N) Angewohnheit, Routine"
1,lek,,新聞 (Met: 則),xīnwén (Met: zé),"(N) Nachricht, Meldung, Nachrichtensendung"
1,lek,,兄弟姊妹,xiōng dì jiě mèi/xiōng dì zǐ mèi,(N) Geschwister
1,lek,,希望,xī wàng,"(TV, 1) hoffen, erwarten; (N) Hoffnung"
1,lek,67,許多,xǔ duō,(Pron.) viele
1,lek,,學習,xué xí,"(TV, 1) lernen; (N) Wissen, Gelerntes"
1,lek,,訓練,xùn liàn,"(TV, 1) antrainieren, beibringen"
1,lek,7,壓力,yā lì,"(N) Druck, Stress"
1,lek,71,養成,yǎng chéng,"(TV, 1) sich angewöhnen, kultivieren"
1,lek,72,嚴肅,yán sù,"(SV) streng, ernsthaft"
1,lek,73,依賴,yī lài,"(TV, 1) sich stützen auf, angewiesen sein auf"
1,lek,74,影響,yǐng xiǎng,(N) Einfluss
1,lek,78,有的,yǒu de,"(Pron.) einige, manche"
1,lek,6,越來越…,yuè lái yuè…,(Adv.) immer mehr
1,lek,77,造成,zào chéng,"(TV, 1) produzieren, verursachen, resultieren in"
1,lek,78,糟糕,zāo gāo,"(SV) Mist, Unsinn; danebengegangen"
1,lek,,則,zé,(Met) für Nachrichtenmeldungen
1,lek,,怎麼,zěn me,(Adv) wie?
1,lek,81,站,zhàn,"(TV, 1) sich hinstellen, sich aufbauen"
1,lek,,長大,zhǎng dà,"(IV) groß werden, aufwachsen"
1,lek,,照顧,zhào gu,"(TV, 1) sich kümmern um, erziehen"
1,lek,,著,zhe,(B) Aspektmarker zum Ausdruck des Durativs und Imperativs
1,lek,,只是,zhǐ shì,"(Adv) nur, bloß, lediglich"
1,lek,,職業婦女,zhí yè fù nǚ,"(N) berufstätige Frau, Geschäftsfrau"
1,lek,,賺錢,zhuàn qián,(VO) Geld verdienen
1,üb,1,重組,chóng zǔ,"(TV, 1) rearrangieren, neu bilden"
1,üb,2,廚房,chú fáng,(N) Küche
1,üb,3,廚師,chú shī,"(N) Koch, Köchin"
1,üb,4,大部分,dà bù fen,"(N) Großteil, Majorität;(Adv) meistens, größtenteils"
1,üb,5,獨生子女,dú shēng zǐ nǚ,(N) Einzelkinder (Jungen und Mädchen)
1,üb,6,煩,fán,"(SV) schlecht gelaunt, ärgerlich"
1,üb,7,跟屁蟲,gēn pì chóng,"(N) lästiges Insekt, das sich einem dauernd auf den Hintern setzt: metaphorisch für lästige Personen bzw. Schmeichler, Arschkriecher, Stiefellecker"
1,üb,8,功夫,gōng fu,"(N) Zeit und Mühe, Energie; Kungfu [Sportart]"
1,üb,9,關,guān,"(TV, 1) verschließen, zumachen, ausmachen"
1,üb,10,孤單,gū dān,"(SV) alleingelassen, vereinsamt"
1,üb,11,腳踏車,jiǎo tà chē,(N) Fahrrad
1,üb,12,記住,jì zhu,"(TV,1) sich merken, sich einprägen"
1,üb,13,來自,lái zì,"(TV, 1) sich herleiten von"
1,üb,14,亮,liàng,"(SV) hell, klar, glänzend"
1,üb,15,留在,liú zài,"(TV, 1) zurückbleiben, verweilen"
1,üb,16,留在家裏,liú zài jiā lǐ,(VO) zu Hause bleiben
1,üb,17,情境,qíng jìng,"(N) Situation, Ausgangspunkt, Lage"
1,üb,18,求,qiú,"(TV, 2) jemand um etwas bitten"
1,üb,19,雙薪家庭,shuāng xīn jiā tíng,(N) Doppelverdienerhaushalt
1,üb,20,熟語,shú yǔ,"(N) feste Redewendung, Idiom"
1,üb,21,歲,suì,(N) Lebensjahr
1,üb,22,天氣,tiān qì,(N) Wetter
1,üb,23,屋子,wū zi,"(N) Zimmer, Raum"
1,üb,24,想法,xiǎng fǎ,"(N) Denkweise, Vorstellung; Einfall, Idee"
1,üb,25,想念,xiǎng niàn,"(TV, 1) denken müssen an, vermissen"
1,üb,26,小孩,xiǎo hái,(N) Kind
1,üb,27,寫法,xiě fǎ,"(N) Schreibweise, Schreibstil, Handschrift"
1,üb,28,與其,yǔ qí,"(Konj) anstatt, an Stelle von, besser als ..."
1,üb,29,站在,zhàn zài,"(TV, 1) sich hinstellen; stehenbleiben an"
1,üb,30,子女,zǐ nǚ,"(N) Söhne und Töchter, Kinder"
1,üb,31,做菜,zuò cài,"(VO) kochen, Essen machen"
1,zu,1,擺,bǎi ,"(TV, 1) aufstellen, anordnen, arrangieren"
1,zu,2,擺碗筷,bǎi wǎn kuài,(VO) Tisch decken
1,zu,3,伯伯,bó bo,(N) Onkel [älterer Bruder des Vaters]
1,zu,4,擦,cā,"(TV, 1) wischen, schrubben, rubbeln, einreiben"
1,zu,,擦地板,cā dì bǎn,(VO) Boden wischen
1,zu,,草,cǎo,(N) Gras; Konzept
1,zu,,地板,dì bǎn,"(N) Dielen, Bodenbretter, Fußboden"
1,zu,8,弟妹,dì mèi,(N) jüngere Geschwister
1,zu,9,地毯,dì tǎn,(N) Teppich
1,zu,10,縫,féng,"(TV, 1) nähen, steppen; flicken"
1,zu,11,縫衣服,féng yī fú,"(VO) Kleidung ausbessern, flicken"
1,zu,12,割,gē,"(TV, 1) schneiden, abschneiden"
1,zu,13,割草,gē cǎo,(VO) Rasen mähen
1,zu,14,澆,jiāo,"(TV, 1) gießen, bewässern"
1,zu,15,澆花,jiāo huā,(VO) Blumen gießen
1,zu,16,晾,liàng,"(TV, 1) an der Luft trocknen lassen"
1,zu,17,晾衣服,liàng yī fú,(VO) Wäsche aufhängen
1,zu,18,馬桶,mǎ tǒng,"(N) Toilette, Klo"
1,zu,19,親戚,qīn qī,(N) eigene und angeheiratete Verwandte
1,zu,20,掃,sǎo,"(TV, 1) fegen, kehren"
1,zu,21,掃地,sǎo dì,"(VO) Boden fegen, auskehren"
1,zu,22,刷馬桶,shuā mǎ tǒng,(VO) Klo putzen
1,zu,23,數,shù,"(N) Zahl, Ziffer"
1,zu,24,叔叔,shū shu,"(N) Onkel, jüngerer Bruder des Vaters"
